game_date,matchup,environment_risk,environment_label,drivers,load_risk,behavior_risk,matchup_risk
2026-01-06,Orlando Magic @ Washington Wizards,0.263,Mixed,"fatigue load, volatile teams",0.822,1.0,0.346
2026-01-06,San Antonio Spurs @ Memphis Grizzlies,0.306,Mixed,"fatigue load, volatile teams",1.0,1.0,0.59
2026-01-07,Chicago Bulls @ Detroit Pistons,0.275,Mixed,"fatigue load, volatile teams",0.966,0.985,0.223
2026-01-07,Denver Nuggets @ Boston Celtics,0.292,Mixed,"fatigue load, volatile teams",1.0,0.904,0.548
2026-01-07,Houston Rockets @ Portland Trail Blazers,0.309,Mixed,"fatigue load, volatile teams, mismatch",1.0,1.0,0.637
2026-01-07,LA Clippers @ New York Knicks,0.296,Mixed,"fatigue load, volatile teams, mismatch",0.894,1.0,0.685
2026-01-07,Los Angeles Lakers @ San Antonio Spurs,0.185,Clean,volatile teams,0.43,1.0,0.065
2026-01-07,Milwaukee Bucks @ Golden State Warriors,0.275,Mixed,"fatigue load, volatile teams",0.894,1.0,0.363
2026-01-07,New Orleans Pelicans @ Atlanta Hawks,0.264,Mixed,"fatigue load, volatile teams",0.822,0.959,0.431
2026-01-07,Orlando Magic @ Brooklyn Nets,0.219,Clean,volatile teams,0.484,1.0,0.445
2026-01-07,Phoenix Suns @ Memphis Grizzlies,0.276,Mixed,"fatigue load, volatile teams",1.0,0.763,0.555
2026-01-07,Toronto Raptors @ Charlotte Hornets,0.277,Mixed,"fatigue load, volatile teams",0.894,1.0,0.4
2026-01-07,Utah Jazz @ Oklahoma City Thunder,0.317,Mixed,"fatigue load, volatile teams, mismatch",1.0,1.0,0.76
2026-01-07,Washington Wizards @ Philadelphia 76ers,0.194,Clean,volatile teams,0.412,1.0,0.229
2026-01-08,Cleveland Cavaliers @ Minnesota Timberwolves,0.221,Clean,volatile teams,0.556,1.0,0.317
2026-01-08,Dallas Mavericks @ Utah Jazz,0.161,Clean,volatile teams,0.43,0.663,0.293
2026-01-08,Indiana Pacers @ Charlotte Hornets,0.274,Mixed,"fatigue load, volatile teams",0.84,1.0,0.464
2026-01-08,Miami Heat @ Chicago Bulls,0.269,Mixed,"fatigue load, volatile teams",0.894,1.0,0.28
2026-01-09,Atlanta Hawks @ Denver Nuggets,0.245,Clean,"fatigue load, volatile teams",0.894,0.871,0.143
2026-01-09,Houston Rockets @ Portland Trail Blazers,0.264,Mixed,"fatigue load, volatile teams",0.822,1.0,0.365
2026-01-09,LA Clippers @ Brooklyn Nets,0.205,Clean,volatile teams,0.43,1.0,0.356
2026-01-09,Milwaukee Bucks @ Los Angeles Lakers,0.261,Mixed,"fatigue load, volatile teams",0.744,1.0,0.492
2026-01-09,New Orleans Pelicans @ Washington Wizards,0.298,Mixed,"fatigue load, volatile teams",1.0,1.0,0.463
2026-01-09,New York Knicks @ Phoenix Suns,0.23,Clean,"fatigue load, volatile teams",0.894,0.773,0.08
2026-01-09,Oklahoma City Thunder @ Memphis Grizzlies,0.266,Mixed,"fatigue load, volatile teams",0.822,1.0,0.387
2026-01-09,Philadelphia 76ers @ Orlando Magic,0.275,Mixed,"fatigue load, volatile teams",1.0,0.761,0.542
2026-01-09,Sacramento Kings @ Golden State Warriors,0.245,Clean,"fatigue load, volatile teams",0.894,0.909,0.078
2026-01-09,Toronto Raptors @ Boston Celtics,0.184,Clean,volatile teams,0.358,1.0,0.205
2026-01-10,Charlotte Hornets @ Utah Jazz,0.288,Mixed,"fatigue load, volatile teams",1.0,0.999,0.323
2026-01-10,Dallas Mavericks @ Chicago Bulls,0.273,Mixed,"fatigue load, volatile teams",0.894,0.908,0.497
2026-01-10,LA Clippers @ Detroit Pistons,0.192,Clean,volatile teams,0.412,1.0,0.21
2026-01-10,Miami Heat @ Indiana Pacers,0.221,Clean,volatile teams,0.556,1.0,0.313
2026-01-10,Minnesota Timberwolves @ Cleveland Cavaliers,0.211,Clean,volatile teams,0.484,1.0,0.322
2026-01-10,San Antonio Spurs @ Boston Celtics,0.309,Mixed,"fatigue load, volatile teams, mismatch",1.0,1.0,0.633
2026-01-11,Atlanta Hawks @ Golden State Warriors,0.279,Mixed,"fatigue load, volatile teams",1.0,1.0,0.19
2026-01-11,Brooklyn Nets @ Memphis Grizzlies,0.28,Mixed,"fatigue load, volatile teams",0.822,1.0,0.598
2026-01-11,Houston Rockets @ Sacramento Kings,0.166,Clean,volatile teams,0.286,1.0,0.103
2026-01-11,Miami Heat @ Oklahoma City Thunder,0.255,Mixed,"fatigue load, volatile teams",0.894,1.0,0.068
2026-01-11,Milwaukee Bucks @ Denver Nuggets,0.266,Mixed,"fatigue load, volatile teams",0.966,0.848,0.331
2026-01-11,New Orleans Pelicans @ Orlando Magic,0.235,Clean,"fatigue load, volatile teams",1.0,0.697,0.052
2026-01-11,New York Knicks @ Portland Trail Blazers,0.256,Mixed,"fatigue load, volatile teams",0.966,0.876,0.126
2026-01-11,Philadelphia 76ers @ Toronto Raptors,0.216,Clean,volatile teams,0.556,1.0,0.24
2026-01-11,San Antonio Spurs @ Minnesota Timberwolves,0.277,Mixed,"fatigue load, volatile teams",0.894,1.0,0.394
2026-01-11,Washington Wizards @ Phoenix Suns,0.284,Mixed,"fatigue load, volatile teams",1.0,1.0,0.267
2026-01-12,Boston Celtics @ Indiana Pacers,0.284,Mixed,"fatigue load, volatile teams",1.0,0.869,0.487
2026-01-12,Brooklyn Nets @ Dallas Mavericks,0.2,Clean,volatile teams,0.43,1.0,0.277
2026-01-12,Charlotte Hornets @ LA Clippers,0.288,Mixed,"fatigue load, volatile teams",1.0,1.0,0.322
2026-01-12,Los Angeles Lakers @ Sacramento Kings,0.262,Mixed,"fatigue load, volatile teams",0.84,1.0,0.282
2026-01-12,Philadelphia 76ers @ Toronto Raptors,0.207,Clean,volatile teams,0.556,0.954,0.192
2026-01-12,Utah Jazz @ Cleveland Cavaliers,0.275,Mixed,"fatigue load, volatile teams",0.822,1.0,0.521
2026-01-13,Atlanta Hawks @ Los Angeles Lakers,0.217,Clean,volatile teams,0.556,1.0,0.252
2026-01-13,Chicago Bulls @ Houston Rockets,0.29,Mixed,"fatigue load, volatile teams",0.948,1.0,0.462
2026-01-13,Denver Nuggets @ New Orleans Pelicans,0.24,Clean,"fatigue load, volatile teams",0.894,0.835,0.132
2026-01-13,Minnesota Timberwolves @ Milwaukee Bucks,0.313,Mixed,"fatigue load, volatile teams, mismatch",1.0,1.0,0.698
2026-01-13,Phoenix Suns @ Miami Heat,0.302,Mixed,"fatigue load, volatile teams",1.0,1.0,0.532
2026-01-13,Portland Trail Blazers @ Golden State Warriors,0.203,Clean,volatile teams,0.538,1.0,0.088
2026-01-13,San Antonio Spurs @ Oklahoma City Thunder,0.276,Mixed,"fatigue load, volatile teams",1.0,1.0,0.137
2026-01-14,Brooklyn Nets @ New Orleans Pelicans,0.266,Mixed,"fatigue load, volatile teams",0.894,1.0,0.225
2026-01-14,Cleveland Cavaliers @ Philadelphia 76ers,0.284,Mixed,"fatigue load, volatile teams",1.0,0.847,0.525
2026-01-14,Denver Nuggets @ Dallas Mavericks,0.195,Clean,volatile teams,0.556,0.841,0.209
2026-01-14,New York Knicks @ Sacramento Kings,0.237,Clean,"fatigue load, volatile teams",0.684,1.0,0.273
